"Temps","Destinació principal","País de residència",Mètriques,Valors,estatus,Dada provisional,
"09/2019","Catalunya","Suïssa","Turistes (milers)","36.4","",""
"09/2019","Catalunya","Resta d'Europa","Turistes (milers)","255.2","",""
"09/2019","Catalunya","Estats Units","Turistes (milers)","169.3","",""
"09/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","126.9","",""
"09/2019","Catalunya","Resta del món","Turistes (milers)","204.5","",""
"09/2019","Catalunya","Total","Turistes (milers)","2011.7","",""
"08/2019","Catalunya","Alemanya","Turistes (milers)","167.4","",""
"08/2019","Catalunya","Bèlgica","Turistes (milers)","56.9","",""
"08/2019","Catalunya","França","Turistes (milers)","710.2","",""
"08/2019","Catalunya","Irlanda","Turistes (milers)","45","",""
"08/2019","Catalunya","Itàlia","Turistes (milers)","156.8","",""
"08/2019","Catalunya","Països Baixos","Turistes (milers)","104","",""
"08/2019","Catalunya","Països nòrdics","Turistes (milers)","52.8","",""
"08/2019","Catalunya","Portugal","Turistes (milers)","21.1","",""
"08/2019","Catalunya","Regne Unit","Turistes (milers)","268","",""
"08/2019","Catalunya","Rússia","Turistes (milers)","88.8","",""
"08/2019","Catalunya","Suïssa","Turistes (milers)","26.8","",""
"08/2019","Catalunya","Resta d'Europa","Turistes (milers)","216.6","",""
"08/2019","Catalunya","Estats Units","Turistes (milers)","113.2","",""
"08/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","103.6","",""
"08/2019","Catalunya","Resta del món","Turistes (milers)","232.1","",""
"08/2019","Catalunya","Total","Turistes (milers)","2363.3","",""
"07/2019","Catalunya","Alemanya","Turistes (milers)","168.3","",""
"07/2019","Catalunya","Bèlgica","Turistes (milers)","72","",""
"07/2019","Catalunya","França","Turistes (milers)","502.1","",""
"07/2019","Catalunya","Irlanda","Turistes (milers)","59.5","",""
"07/2019","Catalunya","Itàlia","Turistes (milers)","105.3","",""
"07/2019","Catalunya","Països Baixos","Turistes (milers)","149.5","",""
"07/2019","Catalunya","Països nòrdics","Turistes (milers)","78.8","",""
"07/2019","Catalunya","Portugal","Turistes (milers)","20","(*)",""
"07/2019","Catalunya","Regne Unit","Turistes (milers)","257.6","",""
"07/2019","Catalunya","Rússia","Turistes (milers)","111.1","",""
"07/2019","Catalunya","Suïssa","Turistes (milers)","45.1","",""
"07/2019","Catalunya","Resta d'Europa","Turistes (milers)","250.6","",""
"07/2019","Catalunya","Estats Units","Turistes (milers)","192.2","",""
"07/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","115","",""
"07/2019","Catalunya","Resta del món","Turistes (milers)","251.4","",""
"07/2019","Catalunya","Total","Turistes (milers)","2378.6","",""
"06/2019","Catalunya","Alemanya","Turistes (milers)","198.6","",""
"06/2019","Catalunya","Bèlgica","Turistes (milers)","31.3","",""
"06/2019","Catalunya","França","Turistes (milers)","358.5","",""
"06/2019","Catalunya","Irlanda","Turistes (milers)","69.3","",""
"06/2019","Catalunya","Itàlia","Turistes (milers)","124.8","",""
"06/2019","Catalunya","Països Baixos","Turistes (milers)","88.9","",""
"06/2019","Catalunya","Països nòrdics","Turistes (milers)","68.9","",""
"06/2019","Catalunya","Portugal","Turistes (milers)","12.7","(*)",""
"06/2019","Catalunya","Regne Unit","Turistes (milers)","255.3","",""
"06/2019","Catalunya","Rússia","Turistes (milers)","123.6","",""
"06/2019","Catalunya","Suïssa","Turistes (milers)","24.3","",""
"06/2019","Catalunya","Resta d'Europa","Turistes (milers)","236.4","",""
"06/2019","Catalunya","Estats Units","Turistes (milers)","210.2","",""
"06/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","109.3","",""
"06/2019","Catalunya","Resta del món","Turistes (milers)","264.7","",""
"06/2019","Catalunya","Total","Turistes (milers)","2176.7","",""
"05/2019","Catalunya","Alemanya","Turistes (milers)","133.2","",""
"05/2019","Catalunya","Bèlgica","Turistes (milers)","20.4","",""
"05/2019","Catalunya","França","Turistes (milers)","372.7","",""
"05/2019","Catalunya","Irlanda","Turistes (milers)","44","",""
"05/2019","Catalunya","Itàlia","Turistes (milers)","110.5","",""
"05/2019","Catalunya","Països Baixos","Turistes (milers)","74.6","",""
"05/2019","Catalunya","Països nòrdics","Turistes (milers)","67.9","",""
"05/2019","Catalunya","Portugal","Turistes (milers)","18.4","",""
"05/2019","Catalunya","Regne Unit","Turistes (milers)","213.7","",""
"05/2019","Catalunya","Rússia","Turistes (milers)","81.5","",""
"05/2019","Catalunya","Suïssa","Turistes (milers)","13.4","(*)",""
"05/2019","Catalunya","Resta d'Europa","Turistes (milers)","205.4","",""
"05/2019","Catalunya","Estats Units","Turistes (milers)","172.4","",""
"05/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","129.5","",""
"05/2019","Catalunya","Resta del món","Turistes (milers)","177.6","",""
"05/2019","Catalunya","Total","Turistes (milers)","1835.1","",""
"04/2019","Catalunya","Alemanya","Turistes (milers)","141.8","",""
"04/2019","Catalunya","Bèlgica","Turistes (milers)","23.6","",""
"04/2019","Catalunya","França","Turistes (milers)","411.2","",""
"04/2019","Catalunya","Irlanda","Turistes (milers)","26.7","",""
"04/2019","Catalunya","Itàlia","Turistes (milers)","124.3","",""
"04/2019","Catalunya","Països Baixos","Turistes (milers)","52.5","",""
"04/2019","Catalunya","Països nòrdics","Turistes (milers)","59.7","",""
"04/2019","Catalunya","Portugal","Turistes (milers)","18.3","",""
"04/2019","Catalunya","Regne Unit","Turistes (milers)","161.2","",""
"04/2019","Catalunya","Rússia","Turistes (milers)","36.9","",""
